clip_id,category,original_text,normalized_text,output_file,generation_status,technical_retry_count,qa_status,qa_notes,duration_seconds,generation_wall_seconds,realtime_factor,sample_rate,channels,peak,rms,clipped_samples_abs_ge_0_999,peak_rss_mib,sha256
01,calm_introduction,"Chào bạn, hôm nay chúng ta cùng bắt đầu bằng một câu chuyện nhỏ.","Chào bạn, hôm nay chúng ta cùng bắt đầu bằng một câu chuyện nhỏ.",audio/01_calm_introduction.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,4.08,5.437099,1.332622,48000,1,0.79873657,0.10186335,0,760.543,21dd1eb79cf90ab55dff4a1f6ce9732f1d2d24d6593c38bc8f2b227faafb07a9
02,calm_introduction,Cảm ơn bạn đã dành ít phút để lắng nghe chương trình.,Cảm ơn bạn đã dành ít phút để lắng nghe chương trình.,audio/02_calm_introduction.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.2,2.358459,0.737019,48000,1,0.99188232,0.09692243,0,775.5,9c3c053e594513312fb8ebdedf1b5e23c781ca5fc17792d0fe88ed8f5272a25b
03,neutral_explanation,Một ý tưởng rõ ràng thường bắt đầu từ những điều rất đơn giản.,Một ý tưởng rõ ràng thường bắt đầu từ những điều rất đơn giản.,audio/03_neutral_explanation.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.44,1.876397,0.545464,48000,1,0.71530151,0.10412767,0,797.152,eb62f43ccfaed20cd9f273a95df93c09c1bab8f372a218f89bf1b939a4bc83a6
04,neutral_explanation,"Khi hiểu đúng vấn đề, chúng ta sẽ chọn được bước đi phù hợp.","Khi hiểu đúng vấn đề, chúng ta sẽ chọn được bước đi phù hợp.",audio/04_neutral_explanation.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,4.56,1.737429,0.381015,48000,1,0.77941895,0.09967119,0,810.559,4279c8ac3be8b6f55ea5b237e3f98adfa513b3e7b58d90df8cfdb03e37886008
05,reflective_narration,Có những lúc chậm lại một chút lại giúp ta nhìn thấy điều quan trọng.,Có những lúc chậm lại một chút lại giúp ta nhìn thấy điều quan trọng.,audio/05_reflective_narration.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.68,2.470638,0.671369,48000,1,0.81652832,0.11122403,0,811.621,2d3bd39a15b5d7b51be1b90ffdc2aa2ebabeaa02a1045abfc9a4bbe6c9e35922
06,reflective_narration,"Sau một ngày bận rộn, ai cũng cần một khoảng yên để suy nghĩ.","Sau một ngày bận rộn, ai cũng cần một khoảng yên để suy nghĩ.",audio/06_reflective_narration.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.68,1.855585,0.504235,48000,1,0.75543213,0.09527003,0,850.184,a1eaa90a57dac4929d32625413e2c607aa8d3cf69d22994ac42d95c028e89d1d
07,storytelling_conversation,Anh ấy đặt cuốn sách xuống rồi kể về cuộc gặp gỡ buổi sáng.,Anh ấy đặt cuốn sách xuống rồi kể về cuộc gặp gỡ buổi sáng.,audio/07_storytelling_conversation.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,4.32,2.915698,0.67493,48000,1,0.67105103,0.10473743,0,851.871,ffdc9d274aec177ad8992cb9b2184dd5586967cd45ad5ec2d2479905fef43ca1
08,storytelling_conversation,"Trong căn phòng nhỏ, mọi người lặng im nghe câu chuyện tiếp tục.","Trong căn phòng nhỏ, mọi người lặng im nghe câu chuyện tiếp tục.",audio/08_storytelling_conversation.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.84,2.590676,0.674655,48000,1,0.82077026,0.10484826,0,852.457,a916def2011016432db4a8c2da64da13c5ea0d68c075bce312f96d6a14e7feac
09,firm_authoritative,Điều cần làm trước tiên là giữ lời hứa với chính mình.,Điều cần làm trước tiên là giữ lời hứa với chính mình.,audio/09_firm_authoritative.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,2.96,1.319106,0.445644,48000,1,0.79959106,0.11060487,0,852.457,0fd2dfe61f8517df0444944e4d58463f51f88213ef13d8c85cfd4c45e78252f3
10,firm_authoritative,Một quyết định tốt cần được đưa ra bằng sự bình tĩnh.,Một quyết định tốt cần được đưa ra bằng sự bình tĩnh.,audio/10_firm_authoritative.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.2,1.411392,0.44106,48000,1,0.77676392,0.10223826,0,852.457,ee7d906ef46450efb19699bbac983ce978c0bc8dde576468a42170d6ba7b3e41
11,mixed_podcast_speech,"Mỗi tuần, chúng ta chọn một chủ đề gần gũi để cùng trò chuyện.","Mỗi tuần, chúng ta chọn một chủ đề gần gũi để cùng trò chuyện.",audio/11_mixed_podcast_speech.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,3.92,1.977346,0.504425,48000,1,0.79818726,0.09311176,0,852.457,ff508199559e7122b7d31d6075ad9d1de4bbc4478dc4b3cb886e909044485e45
12,mixed_podcast_speech,"Dù cuộc sống thay đổi, những điều tử tế vẫn luôn có giá trị.","Dù cuộc sống thay đổi, những điều tử tế vẫn luôn có giá trị.",audio/12_mixed_podcast_speech.wav,SUCCESS,0,PENDING_HUMAN_REVIEW,PENDING,4.0,1.727166,0.431792,48000,1,0.68969727,0.10726605,0,852.457,a1b30691a98a012d538f6e6a68ffdd2e1eb39a875f6d2837a6bb10d548ea9029
